bodyPart,equipment,name,target
waist,body weight,3/4 sit-up,abs
waist,body weight,45 degree side bend,abs
waist,body weight,air bike,abs
upper legs,body weight,all fours squad stretch,quads
waist,body weight,alternate heel touchers,abs
back,cable,alternate lateral pulldown,lats
lower legs,body weight,ankle circles,calves
back,body weight,archer pull up,lats
chest,body weight,archer push up,pectorals
waist,body weight,arm slingers hanging bent knee legs,abs
waist,body weight,arm slingers hanging straight legs,abs
upper legs,body weight,arms apart circular toe touch (male),glutes
waist,body weight,arms overhead full sit-up (male),abs
chest,leverage machine,assisted chest dip (kneeling),pectorals
waist,assisted,assisted hanging knee raise,abs
waist,assisted,assisted hanging knee raise with throw down,abs
lower legs,assisted,assisted lying calves stretch,calves
upper legs,assisted,assisted lying glutes stretch,glutes
upper legs,assisted,assisted lying gluteus and piriformis stretch,glutes
waist,assisted,assisted lying leg raise with lateral throw down,abs
waist,assisted,assisted lying leg raise with throw down,abs
waist,medicine ball,assisted motion russian twist,abs
back,leverage machine,assisted parallel close grip pull-up,lats
upper legs,assisted,assisted prone hamstring,hamstrings
upper legs,assisted,assisted prone lying quads stretch,quads
waist,assisted,assisted prone rectus femoris stretch,abs
back,leverage machine,assisted pull-up,lats
chest,assisted,assisted seated pectoralis major stretch with stability ball,pectorals
upper legs,assisted,assisted side lying adductor stretch,adductors
waist,assisted,assisted sit-up,abs
back,leverage machine,assisted standing chin-up,lats
back,leverage machine,assisted standing pull-up,lats
upper arms,assisted,assisted standing triceps extension (with towel),triceps
upper arms,leverage machine,assisted triceps dip (kneeling),triceps
chest,leverage machine,assisted wide-grip chest dip (kneeling),pectorals
cardio,body weight,astride jumps (male),cardiovascular system
cardio,body weight,back and forth step,cardiovascular system
back,stability ball,back extension on exercise ball,spine
back,body weight,back lever,upper back
back,body weight,back pec stretch,lats
upper legs,body weight,backward jump,quads
upper legs,body weight,balance board,quads
upper arms,band,band alternating biceps curl,biceps
waist,band,band alternating v-up,abs
back,band,band assisted pull-up,lats
waist,band,band assisted wheel rollerout,abs
chest,band,band bench press,pectorals
upper legs,band,band bent-over hip extension,glutes
waist,band,band bicycle crunch,abs
back,band,band close-grip pulldown,lats
upper arms,band,band close-grip push-up,triceps
upper arms,band,band concentration curl,biceps
back,band,band fixed back close grip pulldown,lats
back,band,band fixed back underhand pulldown,lats
shoulders,band,band front lateral raise,delts
shoulders,band,band front raise,delts
upper legs,band,band hip lift,glutes
waist,band,band horizontal pallof press,abs
waist,band,band jack knife sit-up,abs
back,band,band kneeling one arm pulldown,lats
waist,band,band kneeling twisting crunch,abs
upper legs,band,band lying hip internal rotation,glutes
waist,band,band lying straight leg raise,abs
upper arms,band,band one arm overhead biceps curl,biceps
upper legs,band,band one arm single leg split squat,quads
back,band,band one arm standing low row,upper back
chest,band,band one arm twisting chest press,pectorals
back,band,band one arm twisting seated row,upper back
upper legs,band,band pull through,glutes
waist,band,band push sit-up,abs
shoulders,band,band reverse fly,delts
lower arms,band,band reverse wrist curl,forearms
upper legs,band,band seated hip internal rotation,glutes
waist,band,band seated twist,abs
shoulders,band,band shoulder press,delts
back,band,band shrug,traps
upper arms,band,band side triceps extension,triceps
lower legs,band,band single leg calf raise,calves
lower legs,band,band single leg reverse calf raise,calves
upper legs,band,band single leg split squat,quads
upper legs,band,band squat,glutes
upper legs,band,band squat row,glutes
waist,band,band standing crunch,abs
shoulders,band,band standing rear delt row,delts
waist,band,band standing twisting crunch,abs
upper legs,band,band step-up,glutes
upper legs,band,band stiff leg deadlift,glutes
upper legs,band,band straight back stiff leg deadlift,glutes
back,band,band straight leg deadlift,spine
shoulders,band,band twisting overhead press,delts
lower legs,band,band two legs calf raise - (band under both legs) v. 2,calves
back,band,band underhand pulldown,lats
waist,band,band v-up,abs
waist,band,band vertical pallof press,abs
lower arms,band,band wrist curl,forearms
shoulders,band,band y-raise,delts
upper arms,barbell,barbell alternate biceps curl,biceps
upper legs,barbell,barbell bench front squat,quads
chest,barbell,barbell bench press,pectorals
upper legs,barbell,barbell bench squat,quads
back,barbell,barbell bent arm pullover,lats
back,barbell,barbell bent over row,upper back
upper arms,barbell,barbell biceps curl (with arm blaster),biceps
upper legs,barbell,barbell clean and press,quads
upper legs,barbell,barbell clean-grip front squat,glutes
upper arms,barbell,barbell close-grip bench press,triceps
upper arms,barbell,barbell curl,biceps
upper legs,barbell,barbell deadlift,glutes
chest,barbell,barbell decline bench press,pectorals
back,barbell,barbell decline bent arm pullover,lats
upper arms,barbell,barbell decline close grip to skull press,triceps
chest,barbell,barbell decline pullover,pectorals
chest,barbell,barbell decline wide-grip press,pectorals
back,barbell,barbell decline wide-grip pullover,lats
upper arms,barbell,barbell drag curl,biceps
lower legs,barbell,barbell floor calf raise,calves
upper legs,barbell,barbell front chest squat,glutes
shoulders,barbell,barbell front raise,delts
chest,barbell,barbell front raise and pullover,pectorals
upper legs,barbell,barbell front squat,glutes
upper legs,barbell,barbell full squat,glutes
upper legs,barbell,barbell full squat (back pov),glutes
upper legs,barbell,barbell full squat (side pov),glutes
upper legs,barbell,barbell full zercher squat,glutes
upper legs,barbell,barbell glute bridge,glutes
upper legs,barbell,barbell glute bridge two legs on bench (male),glutes
upper legs,barbell,barbell good morning,hamstrings
chest,barbell,barbell guillotine bench press,pectorals
upper legs,barbell,barbell hack squat,glutes
upper legs,barbell,barbell high bar squat,glutes
chest,barbell,barbell incline bench press,pectorals
upper arms,barbell,barbell incline close grip bench press,triceps
upper arms,barbell,barbell incline reverse-grip press,triceps
back,barbell,barbell incline row,upper back
chest,barbell,barbell incline shoulder raise,serratus anterior
upper legs,barbell,barbell jefferson squat,glutes
upper arms,barbell,barbell jm bench press,triceps
upper legs,barbell,barbell jump squat,glutes
upper legs,barbell,barbell lateral lunge,glutes
upper legs,barbell,barbell low bar squat,glutes
upper legs,barbell,barbell lunge,glutes
upper arms,barbell,barbell lying back of the head tricep extension,triceps
upper arms,barbell,barbell lying close-grip press,triceps
upper arms,barbell,barbell lying close-grip triceps extension,triceps
upper arms,barbell,barbell lying extension,triceps
upper legs,barbell,barbell lying lifting (on hip),glutes
upper arms,barbell,barbell lying preacher curl,biceps
upper arms,barbell,barbell lying triceps extension,triceps
upper arms,barbell,barbell lying triceps extension skull crusher,triceps
upper legs,barbell,barbell narrow stance squat,glutes
back,barbell,barbell one arm bent over row,upper back
upper arms,barbell,barbell one arm floor press,triceps
upper legs,barbell,barbell one arm side deadlift,glutes
shoulders,barbell,barbell one arm snatch,delts
upper legs,barbell,barbell one leg squat,quads
upper legs,barbell,barbell overhead squat,quads
lower arms,barbell,barbell palms down wrist curl over a bench,forearms
lower arms,barbell,barbell palms up wrist curl over a bench,forearms
back,barbell,barbell pendlay row,upper back
upper arms,barbell,barbell pin presses,triceps
upper arms,barbell,barbell preacher curl,biceps
waist,barbell,barbell press sit-up,abs
upper arms,barbell,barbell prone incline curl,biceps
back,barbell,barbell pullover,lats
back,barbell,barbell pullover to press,lats
upper legs,barbell,barbell rack pull,glutes
shoulders,barbell,barbell rear delt raise,delts
shoulders,barbell,barbell rear delt row,delts
upper legs,barbell,barbell rear lunge,glutes
upper legs,barbell,barbell rear lunge v. 2,glutes
lower arms,barbell,barbell revers wrist curl v. 2,forearms
upper arms,barbell,barbell reverse close-grip bench press,triceps
upper arms,barbell,barbell reverse curl,biceps
back,barbell,barbell reverse grip bent over row,upper back
